Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,StartDate,Player
29.2,6,65,3,2.21,21.66,58.6,South Africa,Leeds,18 Jul 2008,panesar
40,3,116,2,2.9,58,120,South Africa,Birmingham,30 Jul 2008,panesar
19.5,5,41,4,2.06,10.25,29.7,South Africa,The Oval,7 Aug 2008,panesar
46,8,170,3,3.69,56.66,92,India,Chennai,11 Dec 2008,panesar
33,2,133,3,4.03,44.33,66,India,Mohali,19 Dec 2008,panesar
47,14,122,1,2.59,122,282,West Indies,Kingston,4 Feb 2009,panesar
-,-,-,-,-,-,-,West Indies,North Sound,13 Feb 2009,panesar
62.5,15,148,4,2.35,37,94.2,West Indies,Port of Spain,6 Mar 2009,panesar
35,4,115,1,3.28,115,210,Australia,Cardiff,8 Jul 2009,panesar
71.2,27,153,7,2.14,21.85,61.1,Pakistan,Abu Dhabi,25 Jan 2012,panesar
69.4,17,149,7,2.13,21.28,59.7,Pakistan,Dubai (DSC),3 Feb 2012,panesar
47,17,101,2,2.14,50.5,141,Sri Lanka,Galle,26 Mar 2012,panesar
69,15,210,11,3.04,19.09,37.6,India,Mumbai,23 Nov 2012,panesar
62,14,165,5,2.66,33,74.4,India,Kolkata,5 Dec 2012,panesar
52,15,81,1,1.55,81,312,India,Nagpur,13 Dec 2012,panesar
22,2,83,1,3.77,83,132,New Zealand,Dunedin,6 Mar 2013,panesar
52,23,91,1,1.75,91,312,New Zealand,Wellington,14 Mar 2013,panesar
56.2,21,176,3,3.12,58.66,112.6,New Zealand,Auckland,22 Mar 2013,panesar
54,7,198,2,3.66,99,162,Australia,Adelaide,5 Dec 2013,panesar
16.5,2,59,1,3.5,59,101,Australia,Melbourne,26 Dec 2013,panesar
38.3,2,145,4,3.76,36.25,57.7,India,Chennai,11 Dec 2008,swann
62,14,171,4,2.75,42.75,93,India,Mohali,19 Dec 2008,swann
63,19,149,8,2.36,18.62,47.2,West Indies,St John's,15 Feb 2009,swann
50.4,8,165,5,3.25,33,60.8,West Indies,Bridgetown,26 Feb 2009,swann
66.4,25,143,6,2.14,23.83,66.6,West Indies,Port of Spain,6 Mar 2009,swann
22,6,55,6,2.5,9.16,22,West Indies,Lord's,6 May 2009,swann
17,4,64,1,3.76,64,102,West Indies,Chester-le-Street,14 May 2009,swann
38,8,131,0,3.44,-,-,Australia,Cardiff,8 Jul 2009,swann
29,3,91,4,3.13,22.75,43.5,Australia,Lord's,16 Jul 2009,swann
33,4,123,2,3.72,61.5,99,Australia,Birmingham,30 Jul 2009,swann
16,4,64,0,4,-,-,Australia,Leeds,7 Aug 2009,swann
54.2,11,158,8,2.9,19.75,40.7,Australia,The Oval,20 Aug 2009,swann
72.2,13,201,5,2.77,40.2,86.8,South Africa,Centurion,16 Dec 2009,swann
56,6,164,9,2.92,18.22,37.3,South Africa,Durban,26 Dec 2009,swann
59,6,201,5,3.4,40.2,70.8,South Africa,Cape Town,3 Jan 2010,swann
23,0,93,2,4.04,46.5,69,South Africa,Johannesburg,14 Jan 2010,swann
78.3,19,217,10,2.76,21.7,47.1,Bangladesh,Chittagong,12 Mar 2010,swann
66.1,12,187,6,2.82,31.16,66.1,Bangladesh,Dhaka,20 Mar 2010,swann
38,11,100,0,2.63,-,-,Bangladesh,Lord's,27 May 2010,swann
29.2,4,110,6,3.75,18.33,29.3,Bangladesh,Manchester,4 Jun 2010,swann
2,1,12,0,6,-,-,Pakistan,Nottingham,29 Jul 2010,swann
37,20,65,6,1.75,10.83,37,Pakistan,Birmingham,6 Aug 2010,swann
46,13,118,7,2.56,16.85,39.4,Pakistan,The Oval,18 Aug 2010,swann
21.5,4,74,9,3.38,8.22,14.5,Pakistan,Lord's,26 Aug 2010,swann
51,5,161,2,3.15,80.5,153,Australia,Brisbane,25 Nov 2010,swann
70.1,14,161,7,2.29,23,60.1,Australia,Adelaide,3 Dec 2010,swann
25,0,103,2,4.12,51.5,75,Australia,Perth,16 Dec 2010,swann
29,12,60,2,2.06,30,87,Australia,Melbourne,26 Dec 2010,swann
44,12,112,2,2.54,56,132,Australia,Sydney,3 Jan 2011,swann
31.4,3,94,7,2.96,13.42,27.1,Sri Lanka,Cardiff,26 May 2011,swann
44.4,7,120,3,2.68,40,89.3,Sri Lanka,Lord's,3 Jun 2011,swann
27,6,69,2,2.55,34.5,81,Sri Lanka,Southampton,16 Jun 2011,swann
41,6,114,2,2.78,57,123,India,Lord's,21 Jul 2011,swann
15,0,97,0,6.46,-,-,India,Nottingham,29 Jul 2011,swann
17,1,110,2,6.47,55,51,India,Birmingham,10 Aug 2011,swann
69,11,208,9,3.01,23.11,46,India,The Oval,18 Aug 2011,swann
29.5,3,107,4,3.58,26.75,44.7,Pakistan,Dubai (DSC),17 Jan 2012,swann
45,7,118,5,2.62,23.6,54,Pakistan,Abu Dhabi,25 Jan 2012,swann
40,7,101,4,2.52,25.25,60,Pakistan,Dubai (DSC),3 Feb 2012,swann
53,8,174,6,3.28,29,53,Sri Lanka,Galle,26 Mar 2012,swann
68.1,5,181,10,2.65,18.1,40.9,Sri Lanka,Colombo (PSS),3 Apr 2012,swann
36.5,10,111,3,3.01,37,73.6,West Indies,Lord's,17 May 2012,swann
26.2,5,86,3,3.26,28.66,52.6,West Indies,Nottingham,25 May 2012,swann
26,5,85,0,3.26,-,-,West Indies,Birmingham,7 Jun 2012,swann
52,10,151,0,2.9,-,-,South Africa,The Oval,19 Jul 2012,swann
71.2,20,157,4,2.2,39.25,107,South Africa,Lord's,16 Aug 2012,swann
58.3,9,190,6,3.24,31.66,58.5,India,Ahmedabad,15 Nov 2012,swann
52.2,13,113,8,2.15,14.12,39.2,India,Mumbai,23 Nov 2012,swann
44,12,116,3,2.63,38.66,88,India,Kolkata,5 Dec 2012,swann
31,10,76,3,2.45,25.33,62,India,Nagpur,13 Dec 2012,swann
8,0,19,0,2.37,-,-,New Zealand,Lord's,16 May 2013,swann
41,13,132,10,3.21,13.2,24.6,New Zealand,Leeds,24 May 2013,swann
63,14,165,4,2.61,41.25,94.5,Australia,Nottingham,10 Jul 2013,swann
52,10,122,9,2.34,13.55,34.6,Australia,Lord's,18 Jul 2013,swann
58,2,233,6,4.01,38.83,58,Australia,Manchester,1 Aug 2013,swann
36,11,101,4,2.8,25.25,54,Australia,Chester-le-Street,9 Aug 2013,swann
40,4,134,3,3.35,44.66,80,Australia,The Oval,21 Aug 2013,swann
53,6,215,2,4.05,107.5,159,Australia,Brisbane,21 Nov 2013,swann
45,7,182,2,4.04,91,135,Australia,Adelaide,5 Dec 2013,swann
44,8,163,3,3.7,54.33,88,Australia,Perth,13 Dec 2013,swann
34.5,5,107,6,3.07,17.83,34.8,Sri Lanka,Galle,31 Aug 2011,lyon
25,3,93,2,3.72,46.5,75,Sri Lanka,Pallekele,8 Sep 2011,lyon
35,5,95,0,2.71,-,-,Sri Lanka,Colombo (SSC),16 Sep 2011,lyon
3,1,11,0,3.66,-,-,South Africa,Cape Town,9 Nov 2011,lyon
29,6,109,4,3.75,27.25,43.5,South Africa,Johannesburg,17 Nov 2011,lyon
33.3,3,88,7,2.62,12.57,28.7,New Zealand,Brisbane,1 Dec 2011,lyon
15.3,5,38,3,2.45,12.66,31,New Zealand,Hobart,9 Dec 2011,lyon
22.5,2,91,1,3.98,91,137,India,Melbourne,26 Dec 2011,lyon
28,2,89,1,3.17,89,168,India,Sydney,3 Jan 2012,lyon
42.4,9,111,5,2.6,22.2,51.2,India,Adelaide,24 Jan 2012,lyon
42,15,113,1,2.69,113,252,West Indies,Bridgetown,7 Apr 2012,lyon
29,9,68,5,2.34,13.6,34.8,West Indies,Port of Spain,15 Apr 2012,lyon
62.3,13,156,7,2.49,22.28,53.5,West Indies,Roseau,23 Apr 2012,lyon
50,9,177,4,3.54,44.25,75,South Africa,Brisbane,9 Nov 2012,lyon
94,38,140,5,1.48,28,112.8,South Africa,Adelaide,22 Nov 2012,lyon
34,3,169,3,4.97,56.33,68,South Africa,Perth,30 Nov 2012,lyon
57,20,133,2,2.33,66.5,171,Sri Lanka,Hobart,14 Dec 2012,lyon
7.4,0,39,3,5.08,13,15.3,Sri Lanka,Melbourne,26 Dec 2012,lyon
34,3,135,2,3.97,67.5,102,Sri Lanka,Sydney,3 Jan 2013,lyon
52.3,1,244,4,4.64,61,78.7,India,Chennai,22 Feb 2013,lyon
36,4,151,2,4.19,75.5,108,India,Mohali,14 Mar 2013,lyon
38.4,4,165,9,4.26,18.33,25.7,India,Delhi,22 Mar 2013,lyon
38,12,103,1,2.71,103,228,England,Manchester,1 Aug 2013,lyon
42.1,10,97,7,2.3,13.85,36.1,England,Chester-le-Street,9 Aug 2013,lyon
38,8,103,1,2.71,103,228,England,The Oval,21 Aug 2013,lyon
29,10,63,4,2.17,15.75,43.5,England,Brisbane,21 Nov 2013,lyon
46,12,142,2,3.08,71,138,England,Adelaide,5 Dec 2013,lyon
38,11,109,4,2.86,27.25,57,England,Perth,13 Dec 2013,lyon
39.2,6,117,6,2.97,19.5,39.3,England,Melbourne,26 Dec 2013,lyon
24,3,127,3,5.29,42.33,48,England,Sydney,3 Jan 2014,lyon
27,1,71,2,2.62,35.5,81,South Africa,Centurion,12 Feb 2014,lyon
63,9,178,6,2.82,29.66,63,South Africa,Port Elizabeth,20 Feb 2014,lyon
34,18,63,0,1.85,-,-,South Africa,Cape Town,1 Mar 2014,lyon
55,4,220,2,4,110,165,Pakistan,Dubai (DSC),22 Oct 2014,lyon
55,4,202,1,3.67,202,330,Pakistan,Abu Dhabi,30 Oct 2014,lyon
70.1,9,286,12,4.07,23.83,35,India,Adelaide,9 Dec 2014,lyon
35.4,3,138,5,3.86,27.6,42.8,India,Brisbane,17 Dec 2014,lyon
41,3,144,2,3.51,72,123,India,Melbourne,26 Dec 2014,lyon
76.5,16,233,4,3.03,58.25,115.2,India,Sydney,6 Jan 2015,lyon
30,8,87,3,2.9,29,60,West Indies,Roseau,3 Jun 2015,lyon
21,7,67,5,3.19,13.4,25.2,West Indies,Kingston,11 Jun 2015,lyon
41,7,119,6,2.9,19.83,41,New Zealand,Wellington,19 Mar 2010,harris
29.3,6,88,3,2.98,29.33,59,New Zealand,Hamilton,27 Mar 2010,harris
29,5,84,2,2.89,42,87,England,Adelaide,3 Dec 2010,harris
26,5,106,9,4.07,11.77,17.3,England,Perth,16 Dec 2010,harris
28.4,9,91,0,3.17,-,-,England,Melbourne,26 Dec 2010,harris
28,10,68,5,2.42,13.6,33.6,Sri Lanka,Galle,31 Aug 2011,harris
38,15,92,6,2.42,15.33,38,Sri Lanka,Pallekele,8 Sep 2011,harris
24.3,5,100,4,4.08,25,36.7,South Africa,Cape Town,9 Nov 2011,harris
34,9,67,2,1.97,33.5,102,India,Perth,13 Jan 2012,harris
44,12,112,4,2.54,28,66,India,Adelaide,24 Jan 2012,harris
37.4,10,114,5,3.02,22.8,45.2,West Indies,Bridgetown,7 Apr 2012,harris
25,2,70,1,2.8,70,150,West Indies,Roseau,23 Apr 2012,harris
44.1,10,103,7,2.33,14.71,37.8,England,Lord's,18 Jul 2013,harris
38,12,95,4,2.5,23.75,57,England,Manchester,1 Aug 2013,harris
47,5,187,9,3.97,20.77,31.3,England,Chester-le-Street,9 Aug 2013,harris
33,10,85,4,2.57,21.25,49.5,England,The Oval,21 Aug 2013,harris
34,9,77,5,2.26,15.4,40.8,England,Brisbane,21 Nov 2013,harris
33.4,11,85,3,2.52,28.33,67.3,England,Adelaide,5 Dec 2013,harris
41,12,121,4,2.95,30.25,61.5,England,Perth,13 Dec 2013,harris
34,9,81,2,2.38,40.5,102,England,Melbourne,26 Dec 2013,harris
23.4,9,61,8,2.57,7.62,17.7,England,Sydney,3 Jan 2014,harris
29.4,8,86,2,2.89,43,89,South Africa,Centurion,12 Feb 2014,harris
40,7,137,1,3.42,137,240,South Africa,Port Elizabeth,20 Feb 2014,harris
46.3,24,95,7,2.04,13.57,39.8,South Africa,Cape Town,1 Mar 2014,harris
40,12,104,2,2.6,52,120,India,Adelaide,9 Dec 2014,harris
42,15,100,6,2.38,16.66,42,India,Melbourne,26 Dec 2014,harris
44,10,130,2,2.95,65,132,India,Sydney,6 Jan 2015,harris
37,7,96,4,2.59,24,55.5,Sri Lanka,Brisbane,8 Nov 2007,johnson
45,7,145,4,3.22,36.25,67.5,Sri Lanka,Hobart,16 Nov 2007,johnson
28,11,46,3,1.64,15.33,56,India,Melbourne,26 Dec 2007,johnson
48,6,181,2,3.77,90.5,144,India,Sydney,2 Jan 2008,johnson
38.2,7,144,5,3.75,28.8,46,India,Perth,16 Jan 2008,johnson
53.5,7,159,6,2.95,26.5,53.8,India,Adelaide,24 Jan 2008,johnson
37,9,92,2,2.48,46,111,West Indies,Kingston,22 May 2008,johnson
44,8,142,3,3.22,47.33,88,West Indies,North Sound,30 May 2008,johnson
23.5,3,113,5,4.74,22.6,28.6,West Indies,Bridgetown,12 Jun 2008,johnson
35,7,93,5,2.65,18.6,42,India,Bangalore,9 Oct 2008,johnson
41,4,157,3,3.82,52.33,82,India,Mohali,17 Oct 2008,johnson
44,4,165,4,3.75,41.25,66,India,Delhi,29 Oct 2008,johnson
46,15,106,1,2.3,106,276,India,Nagpur,6 Nov 2008,johnson
25.3,9,69,9,2.7,7.66,17,New Zealand,Brisbane,20 Nov 2008,johnson
40.1,12,85,5,2.11,17,48.2,New Zealand,Adelaide,28 Nov 2008,johnson
58.2,9,159,11,2.72,14.45,31.8,South Africa,Perth,17 Dec 2008,johnson
50,7,163,2,3.26,81.5,150,South Africa,Melbourne,26 Dec 2008,johnson
51.2,13,118,4,2.29,29.5,77,South Africa,Sydney,3 Jan 2009,johnson
52.3,9,137,8,2.6,17.12,39.3,South Africa,Johannesburg,26 Feb 2009,johnson
49,14,115,4,2.34,28.75,73.5,South Africa,Durban,6 Mar 2009,johnson
37.3,5,148,4,3.94,37,56.2,South Africa,Cape Town,19 Mar 2009,johnson
44,6,131,5,2.97,26.2,52.8,England,Cardiff,8 Jul 2009,johnson
38.4,4,200,3,5.17,66.66,77.3,England,Lord's,16 Jul 2009,johnson
21,1,92,2,4.38,46,63,England,Birmingham,30 Jul 2009,johnson
26.3,3,99,6,3.73,16.5,26.5,England,Leeds,7 Aug 2009,johnson
32,1,129,4,4.03,32.25,48,England,The Oval,20 Aug 2009,johnson
28.1,5,110,4,3.9,27.5,42.2,West Indies,Brisbane,26 Nov 2009,johnson
48.1,4,208,8,4.31,26,36.1,West Indies,Adelaide,4 Dec 2009,johnson
34,8,159,5,4.67,31.8,40.8,West Indies,Perth,16 Dec 2009,johnson
40,16,82,6,2.05,13.66,40,Pakistan,Melbourne,26 Dec 2009,johnson
30,4,91,5,3.03,18.2,36,Pakistan,Sydney,3 Jan 2010,johnson
41,6,135,1,3.29,135,246,Pakistan,Hobart,14 Jan 2010,johnson
41,12,145,2,3.53,72.5,123,New Zealand,Wellington,19 Mar 2010,johnson
36.1,8,132,10,3.64,13.2,21.7,New Zealand,Hamilton,27 Mar 2010,johnson
28,7,105,1,3.75,105,168,Pakistan,Lord's,13 Jul 2010,johnson
25.4,1,112,2,4.36,56,77,Pakistan,Leeds,21 Jul 2010,johnson
36.4,7,114,5,3.1,22.8,44,India,Mohali,1 Oct 2010,johnson
42,6,147,3,3.5,49,84,India,Bangalore,9 Oct 2010,johnson
42,7,170,0,4.04,-,-,England,Brisbane,25 Nov 2010,johnson
29.3,8,82,9,2.77,9.11,19.6,England,Perth,16 Dec 2010,johnson
29,2,134,2,4.62,67,87,England,Melbourne,26 Dec 2010,johnson
36,5,168,4,4.66,42,54,England,Sydney,3 Jan 2011,johnson
28,7,82,2,2.92,41,84,Sri Lanka,Galle,31 Aug 2011,johnson
38.4,5,109,2,2.81,54.5,116,Sri Lanka,Pallekele,8 Sep 2011,johnson
35,6,122,2,3.48,61,105,Sri Lanka,Colombo (SSC),16 Sep 2011,johnson
16,1,87,1,5.43,87,96,South Africa,Cape Town,9 Nov 2011,johnson
46.1,8,168,2,3.63,84,138.5,South Africa,Johannesburg,17 Nov 2011,johnson
42,4,164,6,3.9,27.33,42,South Africa,Perth,30 Nov 2012,johnson
22,2,79,6,3.59,13.16,22,Sri Lanka,Melbourne,26 Dec 2012,johnson
28,4,92,3,3.28,30.66,56,Sri Lanka,Sydney,3 Jan 2013,johnson
19,3,60,0,3.15,-,-,India,Delhi,22 Mar 2013,johnson
38.1,9,103,9,2.69,11.44,25.4,England,Brisbane,21 Nov 2013,johnson
41.2,16,113,8,2.73,14.12,31,England,Adelaide,5 Dec 2013,johnson
47.2,13,140,6,2.95,23.33,47.3,England,Perth,13 Dec 2013,johnson
39,9,88,8,2.25,11,29.2,England,Melbourne,26 Dec 2013,johnson
22.5,4,73,6,3.19,12.16,22.8,England,Sydney,3 Jan 2014,johnson
33.1,4,127,12,3.82,10.58,16.5,South Africa,Centurion,12 Feb 2014,johnson
40,6,121,3,3.02,40.33,80,South Africa,Port Elizabeth,20 Feb 2014,johnson
53,16,134,7,2.52,19.14,45.4,South Africa,Cape Town,1 Mar 2014,johnson
43,20,73,3,1.69,24.33,86,Pakistan,Dubai (DSC),22 Oct 2014,johnson
32,8,104,3,3.25,34.66,64,Pakistan,Abu Dhabi,30 Oct 2014,johnson
38,8,147,4,3.86,36.75,57,India,Adelaide,9 Dec 2014,johnson
38.3,8,142,4,3.68,35.5,57.7,India,Brisbane,17 Dec 2014,johnson
45.5,9,173,5,3.77,34.6,55,India,Melbourne,26 Dec 2014,johnson
28.5,5,72,5,2.49,14.4,34.6,West Indies,Roseau,3 Jun 2015,johnson
22,3,77,3,3.5,25.66,44,West Indies,Kingston,11 Jun 2015,johnson
43,6,176,4,4.09,44,64.5,India,Mohali,17 Oct 2008,siddle
42.5,7,128,1,2.98,128,257,South Africa,Perth,17 Dec 2008,siddle
48,14,115,4,2.39,28.75,72,South Africa,Melbourne,26 Dec 2008,siddle
54.5,23,113,8,2.06,14.12,41.1,South Africa,Sydney,3 Jan 2009,siddle
46,9,122,6,2.65,20.33,46,South Africa,Johannesburg,26 Feb 2009,siddle
41.3,18,81,5,1.95,16.2,49.8,South Africa,Durban,6 Mar 2009,siddle
35,15,67,1,1.91,67,210,South Africa,Cape Town,19 Mar 2009,siddle
45,5,172,3,3.82,57.33,90,England,Cardiff,8 Jul 2009,siddle
35.2,5,140,4,3.96,35,53,England,Lord's,16 Jul 2009,siddle
21.3,3,89,3,4.13,29.66,43,England,Birmingham,30 Jul 2009,siddle
21.5,2,71,6,3.25,11.83,21.8,England,Leeds,7 Aug 2009,siddle
38,9,144,4,3.78,36,57,England,The Oval,20 Aug 2009,siddle
23,7,92,2,4,46,69,West Indies,Brisbane,26 Nov 2009,siddle
33,8,120,1,3.63,120,198,West Indies,Adelaide,4 Dec 2009,siddle
37,12,109,2,2.94,54.5,111,Pakistan,Melbourne,26 Dec 2009,siddle
26,5,89,1,3.42,89,156,Pakistan,Sydney,3 Jan 2010,siddle
35.2,15,64,5,1.81,12.8,42.4,Pakistan,Hobart,14 Jan 2010,siddle
40,7,144,6,3.6,24,40,England,Brisbane,25 Nov 2010,siddle
30,3,121,0,4.03,-,-,England,Adelaide,3 Dec 2010,siddle
13,3,33,1,2.53,33,78,England,Perth,16 Dec 2010,siddle
33.1,10,75,6,2.26,12.5,33.1,England,Melbourne,26 Dec 2010,siddle
31,5,111,1,3.58,111,186,England,Sydney,3 Jan 2011,siddle
35,8,91,4,2.6,22.75,52.5,Sri Lanka,Colombo (SSC),16 Sep 2011,siddle
16.2,1,65,1,3.97,65,98,South Africa,Cape Town,9 Nov 2011,siddle
42,14,140,3,3.33,46.66,84,South Africa,Johannesburg,17 Nov 2011,siddle
40,11,101,3,2.52,33.66,80,New Zealand,Brisbane,1 Dec 2011,siddle
38,14,108,6,2.84,18,38,New Zealand,Hobart,9 Dec 2011,siddle
30.1,3,105,6,3.48,17.5,30.1,India,Melbourne,26 Dec 2011,siddle
37.3,11,143,5,3.81,28.6,45,India,Sydney,3 Jan 2012,siddle
27.2,8,85,6,3.1,14.16,27.3,India,Perth,13 Jan 2012,siddle
29,7,96,6,3.31,16,29,India,Adelaide,24 Jan 2012,siddle
48,12,115,3,2.39,38.33,96,West Indies,Bridgetown,7 Apr 2012,siddle
53,10,147,3,2.77,49,106,South Africa,Brisbane,9 Nov 2012,siddle
63.5,21,195,6,3.05,32.5,63.8,South Africa,Adelaide,22 Nov 2012,siddle
51.3,22,104,9,2.01,11.55,34.3,Sri Lanka,Hobart,14 Dec 2012,siddle
13.2,1,62,3,4.65,20.66,26.6,Sri Lanka,Melbourne,26 Dec 2012,siddle
32,7,88,3,2.75,29.33,64,Sri Lanka,Sydney,3 Jan 2013,siddle
27.3,7,70,1,2.54,70,165,India,Chennai,22 Feb 2013,siddle
31,6,92,1,2.96,92,186,India,Hyderabad (Deccan),2 Mar 2013,siddle
40.1,11,105,6,2.61,17.5,40.1,India,Mohali,14 Mar 2013,siddle
12,3,38,1,3.16,38,72,India,Delhi,22 Mar 2013,siddle
47.5,16,135,8,2.82,16.87,35.8,England,Nottingham,10 Jul 2013,siddle
43,12,141,3,3.27,47,86,England,Lord's,18 Jul 2013,siddle
33,7,71,5,2.15,14.2,39.6,England,Manchester,1 Aug 2013,siddle
35,10,100,1,2.85,100,210,England,Chester-le-Street,9 Aug 2013,siddle
31,7,90,0,2.9,-,-,England,The Oval,21 Aug 2013,siddle
26.4,6,49,2,1.83,24.5,80,England,Brisbane,21 Nov 2013,siddle
33,8,91,5,2.75,18.2,39.6,England,Adelaide,5 Dec 2013,siddle
42,16,103,4,2.45,25.75,63,England,Perth,13 Dec 2013,siddle
38,13,96,2,2.52,48,114,England,Melbourne,26 Dec 2013,siddle
17,5,47,3,2.76,15.66,34,England,Sydney,3 Jan 2014,siddle
29,7,88,3,3.03,29.33,58,South Africa,Centurion,12 Feb 2014,siddle
53,11,185,2,3.49,92.5,159,South Africa,Port Elizabeth,20 Feb 2014,siddle
38,16,94,1,2.47,94,228,Pakistan,Dubai (DSC),22 Oct 2014,siddle
45,12,123,1,2.73,123,270,Pakistan,Abu Dhabi,30 Oct 2014,siddle
27.4,5,109,2,3.93,54.5,83,India,Adelaide,9 Dec 2014,siddle
